,precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),strat
68,olive stones,1073,CO2,0.0,1215.0,273,0.1,1.35,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
69,olive stones,1073,CO2,0.0,1215.0,298,0.9,2.9,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
70,olive stones,1073,CO2,0.0,1215.0,298,0.83,2.7,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,True
71,olive stones,1073,CO2,0.0,1215.0,298,0.5,2.2,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
72,olive stones,1073,CO2,0.0,1215.0,298,0.2,1.25,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
73,olive stones,1073,CO2,0.0,1215.0,298,0.1,0.75,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
74,olive stones,1073,CO2,0.0,1215.0,323,0.96,1.8,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
75,olive stones,1073,CO2,0.0,1215.0,323,0.83,1.6,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
76,olive stones,1073,CO2,0.0,1215.0,323,0.5,1.35,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
77,olive stones,1073,CO2,0.0,1215.0,323,0.2,0.65,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
78,olive stones,1073,CO2,0.0,1215.0,323,0.1,0.4,0.51,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
79,olive stones,1073,CO2,0.0,1079.0,298,1.0,2.43,0.502,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
80,olive stones,1073,CO2,0.0,1079.0,373,1.0,0.72,0.502,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
81,olive stones,1073,CO2,0.0,909.0,303,1.0,2.3,0.437,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
82,olive stones,1073,CO2,0.0,909.0,303,0.4,1.3,0.437,51.19,0.2,5.95,0.5,41.37,0.8,85.4,13.8,2.3,0.61,1.4,0.61,False
83,almond shells,973,CO2,0.0,831.0,303,0.4,1.4,0.375,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
84,almond shells,973,CO2,0.0,831.0,303,1.0,2.3,0.375,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
85,almond shells,1023,CO2,0.0,862.0,298,1.0,2.7,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,True
86,almond shells,1023,CO2,0.0,862.0,373,1.0,0.9,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
87,almond shells,1023,CO2,0.0,862.0,273,0.9,3.4,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,True
88,almond shells,1023,CO2,0.0,862.0,273,0.7,3.1,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,True
89,almond shells,1023,CO2,0.0,862.0,273,0.5,2.8,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,True
90,almond shells,1023,CO2,0.0,862.0,273,0.2,2.0,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
91,almond shells,1023,CO2,0.0,862.0,273,0.1,1.4,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
92,almond shells,1023,CO2,0.0,862.0,298,0.9,2.4,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
93,almond shells,1023,CO2,0.0,862.0,298,0.7,2.1,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
94,almond shells,1023,CO2,0.0,862.0,298,0.5,1.7,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
95,almond shells,1023,CO2,0.0,862.0,298,0.2,1.2,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
96,almond shells,1023,CO2,0.0,862.0,298,0.1,0.9,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
97,almond shells,1023,CO2,0.0,862.0,323,0.9,1.6,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
98,almond shells,1023,CO2,0.0,862.0,323,0.7,1.4,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
99,almond shells,1023,CO2,0.0,862.0,323,0.5,1.2,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
100,almond shells,1023,CO2,0.0,862.0,323,0.2,0.7,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
101,almond shells,1023,CO2,0.0,862.0,323,0.1,0.5,0.36,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
102,almond shells,1073,CO2,0.0,822.0,298,1.0,2.14,0.371,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
103,almond shells,1073,CO2,0.0,822.0,373,1.0,0.75,0.371,50.73,0.3,6.02,0.59,41.06,1.3,82.3,16.4,2.35,0.61,1.42,0.61,False
