BIOMASS,BIOMASS_SR,SA,SBR,HHVbiom (MJ/kg),T (K),SR,He_density (g/cm3),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar),R_900,Bulk_density (kg/m3),volCO2 (%),volCO (%),volCH4 (%),volH2 (%),volCOMB (%),volSYNG (%),H2_CO,molCO2/mol biom,molCO/mol biom,molCH4/mol biom,molH2/mol biom,molSYNG/mol biom,molCOMB/mol biom,HHV (MJ/m3),CGE (%),Edensity (MJ/kg biom),GAS (m3/kg biom),Na2O (%),MgO (%),Al2O3 (%),SiO2 (%),P2O5 (%),K2O (%),CaO (%),TiO2 (%),Fe2O3 (%),SO3 (%),MnO (%),Si+P,Si+P+Al,Si+P+Al+Ca,Si+Ca,K/Si+P,K/P,K/Si+P+Ca,Na+Mg+K/Al+Si+P+Ca,Mg+Na+K/Si+P+Ca,K+Na+Mg+Ca/Si+P+Al,strat
PKS,PKS_0.13,2.33,0.93,20.7665,973,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,27.7776,38.7243,11.4872,22.0109,72.2224,60.7352,0.5684,0.9343,1.3025,0.3864,0.7404,2.0429,2.4293,11.4223,41.4419,8.6061,0.7534,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,2.33,0.93,20.7665,1073,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.433,37.1422,10.7526,28.6722,76.567,65.8144,0.772,0.9752,1.5458,0.4475,1.1933,2.739,3.1865,11.7558,52.7733,10.9592,0.9322,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,0.11,0.04,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.5188,37.4261,10.6126,28.4425,76.4812,65.8685,0.76,0.9092,1.4469,0.4103,1.0996,2.5465,2.9567,11.7101,48.8316,10.1406,0.866,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,0.33,0.13,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,21.8692,37.6304,10.781,29.7194,78.1308,67.3498,0.7898,0.8846,1.5221,0.4361,1.2021,2.7242,3.1602,11.9482,52.1293,10.8254,0.906,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.13,1.0,0.4,20.7665,1173,0.13,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,21.022,34.9558,9.2377,34.7844,78.978,69.7403,0.9951,1.1362,1.8893,0.4993,1.88,3.7693,4.2686,11.6641,68.0008,14.1214,1.2107,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,2.33,1.86,20.7665,973,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,31.6295,36.2086,10.2107,21.9512,68.3705,58.1598,0.6062,1.3259,1.5179,0.428,0.9202,2.4381,2.8661,10.6468,48.1425,9.9975,0.939,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,2.33,1.39,20.7665,1073,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,26.2227,35.8339,10.3586,27.5849,73.7773,63.4187,0.7698,1.415,1.9336,0.559,1.4885,3.4221,3.9811,11.3268,65.9282,13.691,1.2087,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,0.11,0.09,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,27.2993,35.4613,9.414,27.8254,72.7007,63.2867,0.7847,1.2513,1.6254,0.4315,1.2754,2.9009,3.3324,10.9619,54.1985,11.2551,1.0267,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,0.33,0.26,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.9842,36.7494,10.1746,29.0918,76.0158,65.8412,0.7916,1.3099,2.0071,0.5557,1.5889,3.596,4.1517,11.5455,68.0171,14.1248,1.2234,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
PKS,PKS_0.25,1.0,0.6,20.7665,1173,0.25,1.221,52.32,0.62,6.21,0.05,38.99,1.81,78.41,19.78,2.5483,0.442,7.9561,1.4641,0.0001,784.0,23.0386,34.4515,9.6393,32.8705,76.9614,67.322,0.9541,1.4102,2.1088,0.59,2.012,4.1209,4.7109,11.526,76.1019,15.8037,1.3711,1.386,5.4846,0.8019,66.3795,1.9008,18.3249,3.4848,0.0099,0.5346,0.05,0.1,68.2803,69.0822,72.567,69.8643,0.2684,9.6406,0.2553,0.3472,0.3511,0.4152,True
