precursor,pyrolysis T (K),activator_name,activator_ratio,BET (m2/g),T ads (K),P ads (bar),CO2 ads (mmol/g),pore volume (cm3/g),C (%),N (%),H (%),S (%),O (%),ash (%),VM (%),FC (%),H/O (molar),O/C (molar),H/C (molar),(O+N)/C (molar)
rice husk,913,KOH-1,1,774,298,1,3.53,0.41,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,983,KOH-1,1,1041,298,1,4.16,0.53,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,1199,298,1,3.87,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
rice husk,1053,KOH-1,1,2695,298,1,3.71,1.14,47.8,0.1,5.1,0,24.4,22.6,60.7,16.7,3.34,0.38,1.28,0.38
empty fruit bunch,873,KOH-5,5,2239,273,1,0.878,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
empty fruit bunch,1073,KOH-5,5,2510,273,1,5.229,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
empty fruit bunch,873,KOH-5,5,2239,298,1,0.854,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
empty fruit bunch,1073,KOH-5,5,2510,298,1,3.712,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
empty fruit bunch,873,KOH-5,5,2239,323,1,0.3,0.88,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
empty fruit bunch,1073,KOH-5,5,2510,323,1,2.343,1.05,49.07,0.7,6.48,0.1,38.29,5.36,83.86,10.78,2.71,0.59,1.58,0.60
olive stones,1073,CO2,0,1215,298,1,3.1,0.51,51.19,0.20,5.95,0.50,41.37,0.80,85.40,13.80,2.30,0.61,1.40,0.61
